"","player_name","team_name","games","time","goals","assists","shots","key_passes","xG","xA","npxG","npxG90","xA90","npxG_plus_xA90"
"126","Neco Williams","Nottingham Forest",10,395,0,1,4,7,0.381273284554482,0.899221880361438,0.381273284554482,0.0868723939491224,0.204885998057036,0.291758392006159
"127","Sandro Tonali","Newcastle United",8,436,1,0,3,7,0.858128592371941,0.552169257774949,0.858128592371941,0.177136636040079,0.113979892659967,0.291116528700046
"128","Mykhailo Mudryk","Chelsea",16,713,2,1,12,13,1.19539417698979,1.0862944573164,1.19539417698979,0.150891270587772,0.137119917473318,0.28801118806109
"129","Youri Tielemans","Aston Villa",16,505,0,3,4,6,0.194440623745322,1.41115953028202,0.194440623745322,0.0346527844298594,0.251493777674023,0.286146562103883
"130","Chiedozie Ogbene","Luton",17,957,1,1,12,12,1.11306440830231,1.91992303729057,1.11306440830231,0.104676903602098,0.180557025450524,0.285233929052622
"131","Nathan Aké","Manchester City",13,828,2,1,11,6,1.0481096431613,1.56837170571089,1.0481096431613,0.113924961213184,0.170475185403357,0.284400146616542
"132","James Garner","Everton",17,1429,1,1,23,21,1.39936963282526,3.09608699940145,1.39936963282526,0.0881338467139769,0.194994982467551,0.283128829181528
"133","Mathias Jensen","Brentford",12,953,3,2,7,20,0.475168704986572,2.50024790689349,0.475168704986572,0.0448742743429082,0.236119949234433,0.280994223577341
"134","Ryan Christie","Bournemouth",18,1440,0,2,16,21,0.768611051142216,3.71798389218748,0.768611051142216,0.0480381906963885,0.232373993261717,0.280412183958106
"135","Yehor Yarmolyuk","Brentford",9,280,0,0,6,2,0.820180157199502,0.0514804199337959,0.820180157199502,0.263629336242697,0.016547277835863,0.28017661407856
"136","Max Lowe","Sheffield United",7,307,0,0,2,1,0.939758777618408,0.012994728051126,0.939758777618408,0.275499315914191,0.00380952939609557,0.279308845310287
"137","Anthony Martial","Manchester United",13,430,1,0,6,6,1.05673907324672,0.276294218376279,1.05673907324672,0.221177945563267,0.0578290224508491,0.279006968014116
"138","Jefferson Lerma","Crystal Palace",13,1143,0,1,18,15,1.84194550011307,1.68558739125729,1.84194550011307,0.145035078749061,0.132723416634432,0.277758495383493
"139","Matt Doherty","Wolverhampton Wanderers",12,345,1,0,3,6,0.627819046378136,0.429509293287992,0.627819046378136,0.163778881663861,0.112045902596868,0.275824784260729
"140","Ryan Gravenberch","Liverpool",14,603,0,0,11,8,1.20325120165944,0.606363017112017,1.20325120165944,0.179589731590961,0.0905019428525398,0.270091674443501
"141","Dan Burn","Newcastle United",14,1186,2,0,11,3,2.79639577679336,0.739718146622181,2.79639577679336,0.212205413078754,0.056133754802695,0.268339167881449
"142","Rodrigo Muniz","Fulham",8,294,0,0,11,4,0.668407641351223,0.203467769548297,0.668407641351223,0.204614584087109,0.0622860519025399,0.266900635989649
"143","Ross Barkley","Luton",13,982,1,1,26,12,1.07306923530996,1.80486913397908,1.07306923530996,0.098346467594599,0.1654157047435,0.263762172338099
"144","Douglas Luiz","Aston Villa",18,1588,5,3,32,26,4.40721847489476,2.49695971794426,2.12371193990111,0.120361507928904,0.141515349253768,0.261876857182673
